movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age,older
Venus,2006,Roger Michell,50,1,Peter O'Toole,Jodie Whittaker,man,woman,1932-08-02,1982-06-03,74,24,man older
The Quiet American,2002,Phillip Noyce,49,1,Michael Caine,Do Thi Hai Yen,man,woman,1933-03-14,1982-10-01,69,20,man older
The Big Lebowski,1998,Joel Coen,45,1,David Huddleston,Tara Reid,man,woman,1930-09-17,1975-11-08,68,23,man older
Beginners,2010,Mike Mills,43,1,Christopher Plummer,Goran Visnjic,man,man,1929-12-13,1972-09-09,81,38,man older
Poison Ivy,1992,Katt Shea,42,1,Tom Skerritt,Drew Barrymore,man,woman,1933-08-25,1975-02-22,59,17,man older
Whatever Works,2009,Woody Allen,40,1,Larry David,Evan Rachel Wood,man,woman,1947-07-02,1987-09-07,62,22,man older
Entrapment,1999,Jon Amiel,39,1,Sean Connery,Catherine Zeta-Jones,man,woman,1930-08-25,1969-09-25,69,30,man older
Husbands and Wives,1992,Woody Allen,38,1,Woody Allen,Juliette Lewis,man,woman,1935-12-01,1973-06-21,57,19,man older
Magnolia,1999,Paul Thomas Anderson,38,1,Jason Robards,Julianne Moore,man,woman,1922-07-26,1960-12-03,77,39,man older
Indiana Jones and the Last Crusade,1989,Steven Spielberg,36,1,Sean Connery,Alison Doody,man,woman,1930-08-25,1966-03-09,59,23,man older
Mr. Peabody and the Mermaid,1948,Irving Pichel,36,1,William Powell,Ann Blyth,man,woman,1892-06-29,1928-08-16,56,20,man older
First Knight,1995,Jerry Zucker,35,1,Sean Connery,Julia Ormond,man,woman,1930-08-25,1965-01-04,65,30,man older
Something's Gotta Give,2003,Nancy Meyers,35,1,Jack Nicholson,Amanda Peet,man,woman,1937-04-22,1972-01-11,66,31,man older
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,34,1,Tom Wilkinson,Kirsten Dunst,man,woman,1948-02-05,1982-04-30,56,22,man older
Lost in Translation,2003,Sofia Coppola,34,1,Bill Murray,Scarlett Johansson,man,woman,1950-09-21,1984-11-22,53,19,man older
Shopgirl,2005,Anand Tucker,34,1,Steve Martin,Claire Danes,man,woman,1945-08-14,1979-04-12,60,26,man older
Wild Target,2010,Jonathan Lynn,34,1,Bill Nighy,Emily Blunt,man,woman,1949-12-12,1983-02-23,61,27,man older
"Fort Apache, The Bronx",1981,Daniel Petrie,33,1,Paul Newman,Rachel Ticotin,man,woman,1925-01-26,1958-11-01,56,23,man older
Hollywood Ending,2002,Woody Allen,33,1,Woody Allen,Debra Messing,man,woman,1935-12-01,1968-08-15,67,34,man older
Daddy Long Legs,1955,Jean Negulesco,32,1,Fred Astaire,Leslie Caron,man,woman,1899-05-10,1931-07-01,56,24,man older
Lolita,1997,Adrian Lyne,32,1,Jeremy Irons,Dominique Swain,man,woman,1948-09-19,1980-08-12,49,17,man older
Mighty Aphrodite,1995,Woody Allen,32,1,Woody Allen,Mira Sorvino,man,woman,1935-12-01,1967-09-28,60,28,man older
Stone,2010,John Curran,32,1,Robert De Niro,Milla Jovovich,man,woman,1943-08-18,1975-12-17,67,35,man older
The Private Lives of Pippa Lee,2009,Rebecca Miller,32,1,Alan Arkin,Robin Wright,man,woman,1934-03-26,1966-04-08,75,43,man older
