movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age,older
Harold and Maude,1971,Hal Ashby,52,1,Ruth Gordon,Bud Cort,woman,man,1896-10-30,1948-03-29,75,23,woman older
The Mother,2003,Roger Michell,33,1,Anne Reid,Daniel Craig,woman,man,1935-05-28,1968-03-02,68,35,woman older
Freeheld,2015,Peter Sollett,27,1,Julianne Moore,Elliot Page,woman,woman,1960-12-03,1987-02-21,55,28,woman older
Tadpole,2002,Gary Winick,27,1,Sigourney Weaver,Aaron Stanford,woman,man,1949-10-08,1976-12-27,53,26,woman older
Chloe,2009,Atom Egoyan,25,1,Julianne Moore,Amanda Seyfried,woman,woman,1960-12-03,1985-12-03,49,24,woman older
The Prom,2020,Ryan Murphy,22,1,Meryl Streep,Keegan-Michael Key,woman,man,1949-06-22,1971-03-22,71,49,woman older
Don Jon,2013,Joseph Gordon-Levitt,21,1,Julianne Moore,Joseph Gordon-Levitt,woman,man,1960-12-03,1981-02-17,53,32,woman older
Notes on a Scandal,2006,Richard Eyre,20,1,Cate Blanchett,Andrew Simpson,woman,man,1969-05-14,1989-01-01,37,17,woman older
American Pie,1999,"Paul Weitz, Chris Weitz",19,1,Jennifer Coolidge,Eddie Kay Thomas,woman,man,1961-08-28,1980-10-31,38,19,woman older
Something's Gotta Give,2003,Nancy Meyers,18,2,Diane Keaton,Keanu Reeves,woman,man,1946-01-05,1964-09-02,57,39,woman older
Tadpole,2002,Gary Winick,18,2,Bebe Neuwirth,Aaron Stanford,woman,man,1958-12-31,1976-12-27,44,26,woman older
The Only Living Boy in New York,2017,Marc Webb,17,2,Kate Beckinsale,Callum Turner,woman,man,1973-07-26,1990-02-15,44,27,woman older
Carol,2015,Todd Haynes,16,1,Cate Blanchett,Rooney Mara,woman,woman,1969-05-14,1985-04-17,46,30,woman older
The Lost City,2022,"Adam Nee, Aaron Nee",16,1,Sandra Bullock,Channing Tatum,woman,man,1964-07-26,1980-04-26,58,42,woman older
Home Again,2017,Hallie Meyers-Shyer,15,1,Reese Witherspoon,Pico Alexander,woman,man,1976-03-21,1991-06-03,41,26,woman older
Sex and the City,2008,Michael Patrick King,15,1,Kim Cattrall,Jason Lewis,woman,man,1956-08-21,1971-06-25,52,37,woman older
The Reader,2008,Stephen Daldry,15,1,Kate Winslet,David Kross,woman,man,1975-10-05,1990-07-04,33,18,woman older
The Beach,2000,Danny Boyle,14,1,Tilda Swinton,Leonardo DiCaprio,woman,man,1960-12-05,1974-11-11,40,26,woman older
The Favourite,2018,Yorgos Lanthimos,14,1,Olivia Colman,Emma Stone,woman,woman,1974-01-30,1988-11-06,44,30,woman older
How Stella Got Her Groove Back,1998,Kevin Rodney Sullivan,13,1,Angela Bassett,Taye Diggs,woman,man,1958-08-16,1971-01-02,40,27,woman older
In the Heights,2021,John M. Chu,12,1,Daphne Rubin-Vega,Stephanie Beatriz,woman,woman,1969-11-18,1981-02-10,52,40,woman older
The Proposal,2009,Anne Fletcher,12,1,Sandra Bullock,Ryan Reynolds,woman,man,1964-07-26,1976-10-23,45,33,woman older
